Finacial Rate,Amount in PLN,Company
Kapitał własny udziałowców podmiotu dominującego,324385000.0,Pepco
Kapitał podstawowy,5760000.0,Pepco
Zobowiązania długoterminowe,1627597000.0,Pepco
Zobowiązania krótkoterminowe,1582083000.0,Pepco
Przepływy operacyjne,271893000.0,Pepco
Przepływy inwestycyjne,-42835000.0,Pepco
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-52586000.0,Pepco
Przepływy finansowe,-259408000.0,Pepco
Przepływy pieniężne netto,-30350000.0,Pepco
EBITDA,452106000.0,Pepco
Przychody ze sprzedaży,17167000000.0,Pge
Zysk/strata ze sprzedaży,3177000000.0,Pge
Pozostałe przychody operacyjne,80000000.0,Pge
Zysk/strata z działalności operacyjnej,3260000000.0,Pge
Zysk/strata brutto,3012000000.0,Pge
zysk/strata netto udziałowców jednostki dominującej,2416000000.0,Pge
Amortyzacja (noty),1050000000.0,Pge
AKTYWA,104710000000.0,Pge
Aktywa trwałe,77233000000.0,Pge
Aktywa obrotowe,27477000000.0,Pge
Kapitał własny udziałowców podmiotu dominującego,47200000000.0,Pge
Kapitał podstawowy,19184000000.0,Pge
Zobowiązania długoterminowe,23607000000.0,Pge
Zobowiązania krótkoterminowe,32789000000.0,Pge
Przepływy operacyjne,4738000000.0,Pge
Przepływy inwestycyjne,-1910000000.0,Pge
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-1893000000.0,Pge
Przepływy finansowe,-1576000000.0,Pge
Przepływy pieniężne netto,1252000000.0,Pge
EBITDA,4310000000.0,Pge
Stopa zwrotu z kapitału własnego (ROE),-0.03,Pge
Stopa zwrotu z aktywów (ROA),-0.01,Pge
Wskaźnik płynności bieżącej,0.84,Pge
Wskaźnik płynności szybkiej,0.44,Pge
Wskaźnik obsługi zadłużenia,16.67,Pge
Przychody ze sprzedaży,10138000000.0,Pko
Zysk/strata ze sprzedaży,3885000000.0,Pko
Pozostałe przychody operacyjne,109000000.0,Pko
Zysk/strata z działalności operacyjnej,3667000000.0,Pko
Zysk/strata brutto,3383000000.0,Pko
zysk/strata netto udziałowców jednostki dominującej,2469000000.0,Pko
Amortyzacja (noty),397000000.0,Pko
AKTYWA,531355000000.0,Pko
Kapitał własny udziałowców podmiotu dominującego,55383000000.0,Pko
Kapitał podstawowy,1250000000.0,Pko
Przepływy operacyjne,-4420000000.0,Pko
Przepływy inwestycyjne,-5158000000.0,Pko
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-135000000.0,Pko
Przepływy finansowe,3109000000.0,Pko
Przepływy pieniężne netto,-6469000000.0,Pko
EBITDA,4064000000.0,Pko
Stopa zwrotu z kapitału własnego (ROE),0.19,Pko
Stopa zwrotu z aktywów (ROA),0.02,Pko
Przychody ze sprzedaży,15653000000.0,PZU
Zysk/strata ze sprzedaży,6005000000.0,PZU
Pozostałe przychody operacyjne,1390000000.0,PZU
Zysk/strata z działalności operacyjnej,4950000000.0,PZU
Przychody finansowe,-49000000.0,PZU
Zysk/strata brutto,4454000000.0,PZU
zysk/strata netto udziałowców jednostki dominującej,1760000000.0,PZU
Amortyzacja (noty),380000000.0,PZU
AKTYWA,507926000000.0,PZU
